TABLE_NAME,COLUMN_NAME,DATA_TYPE,FK_Table,FK_Column
"notifications","id","int","",""
"notifications","user_id","int","users","id"
"notifications","channel","enum","",""
"notifications","message","text","",""
"notifications","sent_at","datetime","",""
"notifications","status","enum","",""
"__EFMigrationsHistory","MigrationId","varchar","",""
"__EFMigrationsHistory","ProductVersion","varchar","",""
"attendances","id","int","",""
"attendances","session_id","int","sessions","id"
"attendances","session_id","int","",""
"attendances","student_id","int","students","id"
"attendances","student_id","int","",""
"attendances","status","enum","",""
"attendances","checkin_at","datetime","",""
"attendances","checkout_at","datetime","",""
"attendances","picked_up_by","varchar","",""
"attendances","institute_id","int","",""
"homework_submissions","id","int","",""
"homework_submissions","homework_id","int","homeworks","id"
"homework_submissions","student_id","int","students","id"
"homework_submissions","submitted_at","datetime","",""
"homework_submissions","file_url","varchar","",""
"homework_submissions","score","decimal","",""
"homework_submissions","feedback","text","",""
"homework_submissions","institute_id","int","institutes","id"
"pdpa_consents","id","int","",""
"pdpa_consents","user_id","int","users","id"
"pdpa_consents","consent_version","varchar","",""
"pdpa_consents","is_accepted","tinyint","",""
"pdpa_consents","accepted_at","datetime","",""
"pdpa_consents","ip_address","varchar","",""
"courses","id","int","",""
"courses","institute_id","int","institutes","id"
"courses","name","varchar","",""
"courses","subject","varchar","",""
"courses","total_sessions","int","",""
"courses","price","decimal","",""
"courses","teacher_id","int","teachers","id"
"courses","created_at","timestamp","",""
"courses","deleted_at","datetime","",""
"courses","created_by","int","",""
"courses","updated_by","int","",""
"courses","capacity_limit","int","",""
"courses","status","enum","",""
"skill_topics","id","int","",""
"skill_topics","course_id","int","courses","id"
"skill_topics","name","varchar","",""
"skill_topics","order_index","int","",""
"sessions","id","int","",""
"sessions","course_id","int","courses","id"
"sessions","scheduled_at","datetime","",""
"sessions","duration_min","int","",""
"sessions","room_id","varchar","",""
"sessions","status","enum","",""
"sessions","substitute_teacher_id","int","teachers","id"
"sessions","actual_start_at","datetime","",""
"sessions","actual_end_at","datetime","",""
"sessions","institute_id","int","",""
"students","id","int","",""
"students","institute_id","int","institutes","id"
"students","user_id","int","users","id"
"students","user_id","int","",""
"students","full_name","varchar","",""
"students","nickname","varchar","",""
"students","grade","varchar","",""
"students","school","varchar","",""
"students","qr_token","varchar","",""
"students","photo_url","varchar","",""
"students","medical_info","text","",""
"students","created_at","timestamp","",""
"students","deleted_at","datetime","",""
"students","created_by","int","",""
"students","updated_by","int","",""
"students","status","enum","",""
"payments","id","int","",""
"payments","enrollment_id","int","enrollments","id"
"payments","amount","decimal","",""
"payments","method","enum","",""
"payments","paid_at","datetime","",""
"payments","slip_url","varchar","",""
"payments","invoice_no","varchar","",""
"payments","created_at","timestamp","",""
"payments","discount_amount","decimal","",""
"payments","status","enum","",""
"payments","gateway_ref_id","varchar","",""
"payments","net_amount","decimal","",""
"payments","institute_id","int","",""
"institutes","id","int","",""
"institutes","name","varchar","",""
"institutes","logo_url","varchar","",""
"institutes","contact_phone","varchar","",""
"institutes","is_active","tinyint","",""
"institutes","created_at","timestamp","",""
"institutes","updated_at","timestamp","",""
"enrollments","id","int","",""
"enrollments","student_id","int","students","id"
"enrollments","student_id","int","",""
"enrollments","course_id","int","courses","id"
"enrollments","course_id","int","",""
"enrollments","sessions_remaining","int","",""
"enrollments","paid_amount","decimal","",""
"enrollments","expires_at","date","",""
"enrollments","created_at","timestamp","",""
"enrollments","institute_id","int","",""
"makeup_slots","id","int","",""
"makeup_slots","teacher_id","int","teachers","id"
"makeup_slots","scheduled_at","datetime","",""
"makeup_slots","capacity","int","",""
"makeup_slots","booked_count","int","",""
"makeup_slots","room_id","varchar","",""
"teachers","id","int","",""
"teachers","institute_id","int","institutes","id"
"teachers","user_id","int","users","id"
"teachers","user_id","int","",""
"teachers","full_name","varchar","",""
"teachers","subjects","varchar","",""
"teachers","bio","text","",""
"teachers","hourly_rate","decimal","",""
"teachers","photo_url","varchar","",""
"teachers","deleted_at","datetime","",""
"teachers","created_by","int","",""
"teachers","updated_by","int","",""
"teachers","bank_account_info","text","",""
"teachers","tax_id","varchar","",""
"teachers","status","enum","",""
"skill_scores","id","int","",""
"skill_scores","student_id","int","students","id"
"skill_scores","topic_id","int","skill_topics","id"
"skill_scores","score","decimal","",""
"skill_scores","note","text","",""
"skill_scores","updated_by","int","users","id"
"skill_scores","updated_at","datetime","",""
"leave_requests","id","int","",""
"leave_requests","student_id","int","students","id"
"leave_requests","session_id","int","sessions","id"
"leave_requests","reason","text","",""
"leave_requests","type","enum","",""
"leave_requests","status","enum","",""
"leave_requests","requested_at","datetime","",""
"leave_requests","approved_by","int","users","id"
"leave_requests","institute_id","int","institutes","id"
"parents","id","int","",""
"parents","user_id","int","users","id"
"parents","user_id","int","",""
"parents","student_id","int","students","id"
"parents","full_name","varchar","",""
"parents","phone","varchar","",""
"parents","line_user_id","varchar","",""
"parents","relationship","varchar","",""
"users","id","int","",""
"users","institute_id","int","institutes","id"
"users","email","varchar","",""
"users","phone","varchar","",""
"users","role","varchar","",""
"users","line_user_id","varchar","",""
"users","password_hash","varchar","",""
"users","reset_token","varchar","",""
"users","reset_token_expiry","datetime","",""
"users","created_at","timestamp","",""
"users","updated_at","timestamp","",""
"makeup_credits","id","int","",""
"makeup_credits","student_id","int","students","id"
"makeup_credits","course_id","int","courses","id"
"makeup_credits","granted_at","datetime","",""
"makeup_credits","expires_at","date","",""
"makeup_credits","used_session_id","int","sessions","id"
"makeup_credits","institute_id","int","institutes","id"
"homeworks","id","int","",""
"homeworks","course_id","int","courses","id"
"homeworks","title","varchar","",""
"homeworks","description","text","",""
"homeworks","file_url","varchar","",""
"homeworks","due_at","datetime","",""
"homeworks","assigned_by","int","teachers","id"
"homeworks","institute_id","int","institutes","id"